length,diameter,height,wholeweight,shuckedweight,visceraweight,shellweight,class,F,I,M
0.395,0.325,0.105,0.306,0.111,0.0735,0.095,8,False,True,False
0.535,0.44,0.165,0.875,0.279,0.18,0.3,10,False,False,True
0.575,0.455,0.16,0.9895,0.495,0.195,0.246,9,False,True,False
0.29,0.225,0.08,0.1295,0.0535,0.026,0.045,10,False,False,True
0.66,0.53,0.17,1.326,0.519,0.2625,0.44,13,True,False,False
0.63,0.48,0.16,1.199,0.5265,0.335,0.315,11,True,False,False
0.52,0.405,0.125,0.6435,0.2415,0.1735,0.21,12,True,False,False
0.6,0.48,0.17,1.056,0.4575,0.2435,0.3135,10,True,False,False
0.65,0.495,0.16,1.2075,0.55,0.2695,0.32,10,False,False,True
0.4,0.31,0.115,0.3465,0.1475,0.0695,0.115,10,True,False,False
0.35,0.255,0.085,0.2145,0.1,0.0465,0.06,13,False,False,True
0.625,0.5,0.15,0.953,0.3445,0.2235,0.305,15,True,False,False
0.35,0.26,0.09,0.1765,0.072,0.0355,0.0575,7,False,True,False
0.58,0.445,0.125,0.7095,0.303,0.1405,0.235,9,False,True,False
0.53,0.405,0.15,0.889,0.4055,0.2275,0.215,8,True,False,False
0.405,0.31,0.065,0.3205,0.1575,0.066,0.088,6,False,True,False
0.525,0.38,0.135,0.615,0.261,0.159,0.175,8,False,True,False
0.415,0.31,0.1,0.2805,0.114,0.0565,0.0975,6,False,True,False
0.6,0.5,0.155,1.332,0.6235,0.2835,0.35,8,True,False,False
0.28,0.2,0.075,0.1225,0.0545,0.0115,0.035,5,False,True,False
0.7,0.565,0.175,1.8565,0.8445,0.3935,0.54,10,False,False,True
0.54,0.415,0.13,0.8245,0.272,0.226,0.24,13,False,False,True
0.385,0.285,0.105,0.2905,0.1215,0.0685,0.0875,12,False,False,True
0.61,0.485,0.21,1.3445,0.535,0.2205,0.515,20,True,False,False
0.51,0.375,0.11,0.5805,0.2865,0.118,0.148,7,True,False,False
0.635,0.51,0.17,1.3555,0.619,0.305,0.39,9,False,False,True
0.29,0.21,0.06,0.1045,0.0415,0.022,0.035,5,False,True,False
0.675,0.54,0.21,1.593,0.686,0.318,0.45,11,True,False,False
0.44,0.35,0.12,0.375,0.1425,0.0965,0.115,9,False,True,False
0.535,0.42,0.165,0.9195,0.3355,0.1985,0.26,16,False,False,True
0.535,0.445,0.125,0.8725,0.417,0.199,0.24,8,True,False,False
0.59,0.445,0.14,0.931,0.356,0.234,0.28,12,False,False,True
0.47,0.365,0.105,0.4205,0.163,0.1035,0.14,9,True,False,False
0.65,0.485,0.16,1.7395,0.5715,0.2785,0.3075,10,False,False,True
0.575,0.445,0.145,0.876,0.3795,0.1615,0.27,10,False,False,True
0.58,0.44,0.16,0.8295,0.3365,0.2005,0.2485,9,False,False,True
0.44,0.34,0.12,0.4995,0.2965,0.0945,0.1185,6,False,True,False
0.645,0.51,0.19,1.4865,0.6445,0.296,0.425,12,False,False,True
0.395,0.295,0.1,0.2715,0.134,0.0325,0.085,10,False,True,False
0.34,0.265,0.08,0.2015,0.09,0.0475,0.055,5,False,True,False
0.485,0.365,0.15,0.9145,0.4145,0.199,0.273,7,True,False,False
0.64,0.505,0.165,1.4435,0.6145,0.3035,0.39,18,False,False,True
0.63,0.5,0.175,1.1105,0.467,0.268,0.329,10,True,False,False
0.385,0.305,0.09,0.2775,0.109,0.0515,0.1,9,False,False,True
0.36,0.27,0.09,0.232,0.12,0.0435,0.056,8,False,True,False
0.61,0.48,0.175,1.0675,0.391,0.216,0.42,15,True,False,False
0.44,0.35,0.135,0.435,0.1815,0.083,0.125,12,False,True,False
0.4,0.31,0.1,0.127,0.106,0.071,0.085,7,False,True,False
0.48,0.39,0.145,0.5825,0.2315,0.121,0.255,15,False,True,False
0.535,0.455,0.14,1.0015,0.53,0.1765,0.244,9,False,True,False
0.615,0.475,0.205,1.337,0.5995,0.2815,0.37,11,False,False,True
0.435,0.355,0.125,0.4075,0.1535,0.074,0.165,9,False,True,False
0.55,0.45,0.17,0.81,0.317,0.157,0.22,11,False,False,True
0.665,0.515,0.165,1.3855,0.621,0.302,0.3445,8,False,False,True
0.525,0.425,0.145,0.7995,0.3345,0.209,0.24,15,True,False,False
0.36,0.295,0.1,0.2105,0.066,0.0525,0.075,9,False,False,True
0.65,0.5,0.165,1.1445,0.485,0.218,0.365,12,True,False,False
0.53,0.41,0.155,0.7155,0.2805,0.1685,0.214,11,False,False,True
0.665,0.5,0.17,1.2975,0.6035,0.291,0.3595,9,False,True,False
0.415,0.315,0.115,0.3895,0.2015,0.065,0.103,9,False,False,True
0.645,0.52,0.19,1.3105,0.58,0.288,0.37,12,True,False,False
0.37,0.295,0.1,0.2685,0.1165,0.056,0.0835,7,True,False,False
0.55,0.425,0.135,0.8515,0.362,0.196,0.27,14,True,False,False
0.59,0.45,0.125,0.86,0.437,0.1515,0.245,9,False,True,False
0.52,0.4,0.12,0.58,0.234,0.1315,0.185,8,False,False,True
0.355,0.27,0.075,0.1775,0.079,0.0315,0.054,6,False,True,False
0.78,0.6,0.21,2.548,1.1945,0.5745,0.6745,11,False,False,True
0.53,0.435,0.155,0.699,0.288,0.1595,0.205,10,False,False,True
0.57,0.435,0.13,0.7535,0.349,0.1755,0.194,10,False,False,True
0.6,0.465,0.18,1.193,0.5145,0.315,0.3055,8,False,False,True
0.705,0.535,0.22,1.866,0.929,0.3835,0.4395,10,True,False,False
0.515,0.4,0.17,0.796,0.258,0.1755,0.28,16,True,False,False
0.46,0.375,0.13,0.5735,0.2505,0.119,0.195,9,False,False,True
0.41,0.325,0.1,0.3245,0.132,0.072,0.106,6,False,True,False
0.585,0.465,0.145,0.9855,0.4325,0.2145,0.2845,10,True,False,False
0.585,0.46,0.14,0.7635,0.326,0.153,0.265,9,False,True,False
0.61,0.46,0.145,1.1185,0.478,0.2945,0.2985,10,True,False,False
0.53,0.395,0.13,0.575,0.247,0.115,0.183,9,False,True,False
0.475,0.365,0.12,0.53,0.2505,0.0975,0.1625,10,False,True,False
0.52,0.41,0.155,0.727,0.291,0.1835,0.235,12,True,False,False
0.395,0.29,0.095,0.3,0.158,0.068,0.078,7,False,True,False
0.655,0.505,0.19,1.3485,0.5935,0.2745,0.425,12,True,False,False
0.465,0.36,0.105,0.498,0.214,0.116,0.14,15,False,True,False
0.63,0.475,0.15,1.172,0.536,0.254,0.316,11,True,False,False
0.485,0.38,0.125,0.5215,0.2215,0.118,0.16,8,False,True,False
0.375,0.27,0.135,0.597,0.272,0.131,0.1675,7,True,False,False
0.49,0.4,0.145,0.6635,0.21,0.1295,0.2515,13,True,False,False
0.46,0.355,0.11,0.415,0.215,0.082,0.13,12,False,False,True
0.7,0.535,0.16,1.7255,0.63,0.2635,0.54,19,False,False,True
0.59,0.465,0.155,1.136,0.5245,0.2615,0.275,11,False,False,True
0.47,0.345,0.14,0.4615,0.229,0.1105,0.116,9,False,True,False
0.39,0.29,0.09,0.2625,0.117,0.054,0.077,7,False,True,False
0.63,0.505,0.165,1.26,0.4525,0.2755,0.406,14,False,False,True
0.595,0.455,0.15,1.044,0.518,0.2205,0.27,9,False,False,True
0.405,0.31,0.09,0.312,0.138,0.06,0.087,8,False,True,False
0.37,0.275,0.08,0.2325,0.093,0.056,0.072,6,False,True,False
0.505,0.385,0.145,0.6775,0.236,0.179,0.2,15,False,False,True
0.615,0.5,0.17,1.054,0.4845,0.228,0.295,10,False,False,True
0.565,0.425,0.16,0.9425,0.3495,0.2185,0.275,17,False,False,True
0.555,0.43,0.165,0.7575,0.2735,0.1635,0.275,13,False,False,True
0.405,0.305,0.1,0.268,0.1145,0.053,0.085,7,False,True,False
0.455,0.36,0.115,0.457,0.2085,0.0855,0.147,10,False,True,False
0.46,0.36,0.1,0.4635,0.2325,0.093,0.115,7,False,True,False
0.595,0.46,0.14,0.852,0.4215,0.2255,0.227,9,False,False,True
0.335,0.25,0.075,0.186,0.0945,0.038,0.0445,7,False,True,False
0.29,0.21,0.06,0.1195,0.056,0.0235,0.03,6,False,True,False
0.6,0.505,0.19,1.129,0.4385,0.256,0.36,13,True,False,False
0.52,0.41,0.12,0.595,0.2385,0.111,0.19,8,False,True,False
0.325,0.24,0.085,0.173,0.0795,0.038,0.05,7,False,False,True
0.44,0.35,0.11,0.3805,0.1575,0.0895,0.115,6,False,True,False
0.485,0.375,0.125,0.562,0.2505,0.1345,0.1525,8,False,True,False
0.51,0.405,0.12,0.61,0.229,0.131,0.235,11,False,True,False
0.37,0.275,0.08,0.2325,0.093,0.056,0.072,6,False,True,False
0.6,0.49,0.21,1.9875,1.005,0.419,0.491,10,False,False,True
0.59,0.45,0.155,0.874,0.369,0.2135,0.24,8,False,False,True
0.615,0.495,0.155,1.0805,0.52,0.19,0.32,9,True,False,False
0.475,0.37,0.11,0.4895,0.2185,0.107,0.146,8,False,False,True
0.585,0.45,0.17,0.8685,0.3325,0.1635,0.27,22,True,False,False
0.395,0.3,0.09,0.279,0.134,0.049,0.075,8,False,True,False
0.61,0.495,0.16,1.089,0.469,0.198,0.384,11,True,False,False
0.405,0.3,0.105,0.304,0.1455,0.061,0.0805,6,False,True,False
0.525,0.4,0.13,0.6445,0.345,0.1285,0.2,8,False,True,False
0.57,0.45,0.16,0.9715,0.3965,0.255,0.26,12,True,False,False
0.69,0.555,0.205,1.8165,0.7785,0.4395,0.515,19,True,False,False
0.5,0.385,0.135,0.6425,0.3195,0.129,0.1535,7,False,False,True
0.41,0.325,0.11,0.326,0.1325,0.075,0.101,8,False,True,False
0.58,0.455,0.15,1.114,0.4765,0.2155,0.265,8,False,False,True
0.485,0.415,0.14,0.5705,0.25,0.134,0.185,8,False,True,False
0.6,0.495,0.195,1.0575,0.384,0.19,0.375,26,False,False,True
0.51,0.39,0.135,0.769,0.3935,0.1455,0.19,8,False,False,True
0.62,0.46,0.17,1.127,0.535,0.2635,0.296,7,False,False,True
0.745,0.585,0.215,2.499,0.9265,0.472,0.7,17,False,False,True
0.65,0.515,0.175,1.4805,0.5295,0.272,0.525,20,False,False,True
0.69,0.56,0.215,1.719,0.68,0.299,0.47,17,True,False,False
0.5,0.4,0.13,0.7715,0.37,0.16,0.211,8,False,False,True
0.395,0.29,0.095,0.304,0.127,0.084,0.077,6,False,True,False
0.63,0.5,0.18,1.1965,0.514,0.2325,0.3995,8,True,False,False
0.615,0.47,0.145,1.0285,0.4435,0.2825,0.285,11,False,False,True
0.48,0.35,0.1,0.519,0.2365,0.1275,0.126,7,False,True,False
0.655,0.5,0.14,1.1705,0.5405,0.3175,0.285,12,True,False,False
0.495,0.38,0.13,0.5125,0.2185,0.116,0.16,7,False,True,False
0.55,0.43,0.15,0.8745,0.413,0.1905,0.248,9,False,False,True
0.57,0.455,0.175,1.02,0.4805,0.2145,0.29,9,False,False,True
0.625,0.48,0.185,1.2065,0.587,0.29,0.286,8,False,False,True
0.59,0.455,0.15,0.976,0.465,0.2055,0.2765,10,True,False,False
0.5,0.385,0.145,0.7615,0.246,0.195,0.204,14,False,False,True
0.3,0.23,0.075,0.15,0.0605,0.042,0.045,5,False,True,False
0.63,0.475,0.15,1.072,0.433,0.2975,0.315,8,True,False,False
0.62,0.49,0.16,1.035,0.44,0.2525,0.285,11,False,False,True
0.59,0.485,0.12,0.911,0.39,0.182,0.29,16,False,False,True
0.71,0.545,0.175,1.907,0.8725,0.4565,0.475,11,True,False,False
0.575,0.48,0.15,0.9465,0.4355,0.2605,0.2505,9,False,False,True
0.56,0.44,0.13,0.8255,0.2425,0.202,0.285,10,False,False,True
0.47,0.375,0.105,0.441,0.167,0.0865,0.145,10,False,True,False
0.375,0.28,0.08,0.226,0.105,0.047,0.065,6,False,True,False
0.13,0.095,0.035,0.0105,0.005,0.0065,0.0035,4,False,True,False
0.5,0.42,0.135,0.6765,0.302,0.1415,0.2065,9,False,False,True
0.72,0.59,0.205,1.7495,0.7755,0.4225,0.48,11,True,False,False
0.325,0.24,0.085,0.173,0.0795,0.038,0.05,7,False,False,True
0.545,0.42,0.125,0.717,0.358,0.112,0.22,8,False,True,False
0.445,0.325,0.1,0.378,0.1795,0.1,0.089,7,False,True,False
0.585,0.46,0.145,0.9335,0.478,0.1825,0.235,9,False,False,True
0.59,0.455,0.155,0.8855,0.388,0.188,0.275,10,False,False,True
0.565,0.455,0.15,0.9595,0.4565,0.2395,0.23,9,False,False,True
0.495,0.4,0.14,0.7775,0.2015,0.18,0.25,15,False,False,True
0.46,0.375,0.13,0.5735,0.2505,0.119,0.195,9,False,False,True
0.535,0.41,0.155,0.6315,0.2745,0.1415,0.1815,12,False,True,False
0.565,0.45,0.115,0.9085,0.398,0.197,0.29,17,False,False,True
0.38,0.28,0.085,0.2735,0.115,0.061,0.085,6,False,True,False
0.59,0.475,0.145,1.053,0.4415,0.262,0.325,15,False,False,True
0.44,0.325,0.08,0.413,0.144,0.1015,0.13,8,False,False,True
0.535,0.4,0.145,0.705,0.3065,0.1365,0.22,10,False,True,False
0.435,0.345,0.12,0.3215,0.13,0.056,0.1185,7,False,True,False
0.255,0.185,0.06,0.088,0.0365,0.021,0.023,5,False,True,False
0.48,0.365,0.13,0.5305,0.2405,0.127,0.139,8,False,False,True
0.535,0.445,0.125,0.8725,0.417,0.199,0.24,8,True,False,False
0.455,0.375,0.125,0.484,0.2155,0.102,0.165,7,False,False,True
0.605,0.47,0.16,1.1735,0.4975,0.2405,0.345,12,False,False,True
0.57,0.445,0.16,1.0145,0.516,0.164,0.3,10,False,False,True
0.505,0.395,0.105,0.551,0.248,0.103,0.171,8,False,True,False
0.405,0.3,0.09,0.269,0.103,0.067,0.11,6,False,True,False
0.28,0.2,0.08,0.0915,0.033,0.0215,0.03,5,False,False,True
0.575,0.465,0.14,0.958,0.442,0.1815,0.2705,9,True,False,False
0.505,0.38,0.13,0.693,0.391,0.1195,0.1515,8,True,False,False
0.425,0.31,0.09,0.301,0.1385,0.065,0.08,7,False,True,False
0.49,0.38,0.11,0.554,0.2935,0.1005,0.15,8,False,False,True
0.62,0.45,0.2,0.858,0.4285,0.1525,0.2405,8,False,False,True
0.355,0.275,0.085,0.22,0.092,0.06,0.15,8,False,True,False
0.535,0.405,0.14,0.818,0.402,0.1715,0.189,7,False,False,True
0.555,0.43,0.125,0.7005,0.3395,0.1355,0.2095,8,False,True,False
0.58,0.46,0.15,1.0165,0.491,0.221,0.265,9,False,False,True
0.495,0.38,0.135,0.6295,0.263,0.1425,0.215,12,False,False,True
0.59,0.405,0.15,0.853,0.326,0.2615,0.245,9,False,False,True
0.535,0.41,0.135,0.862,0.2855,0.1525,0.32,14,False,False,True
0.56,0.425,0.145,0.688,0.3095,0.1305,0.2165,9,False,True,False
0.555,0.46,0.145,0.9005,0.3845,0.158,0.2765,11,False,True,False
0.16,0.11,0.025,0.0195,0.0075,0.005,0.006,4,False,True,False
0.63,0.48,0.175,1.3675,0.5015,0.3035,0.515,17,True,False,False
0.45,0.335,0.105,0.447,0.2335,0.153,0.119,7,False,True,False
0.615,0.475,0.175,1.224,0.6035,0.261,0.311,9,False,False,True
0.6,0.48,0.18,1.0645,0.4495,0.2455,0.325,10,True,False,False
0.57,0.45,0.16,0.8615,0.3725,0.2175,0.255,12,False,False,True
0.365,0.27,0.085,0.196,0.0825,0.0375,0.06,7,False,True,False
0.485,0.375,0.125,0.562,0.2505,0.1345,0.1525,8,False,True,False
0.575,0.465,0.195,0.9965,0.417,0.247,0.47,8,True,False,False
0.485,0.355,0.105,0.498,0.2175,0.096,0.1525,9,False,True,False
0.57,0.455,0.165,1.0595,0.44,0.2195,0.285,14,True,False,False
0.655,0.5,0.22,1.359,0.642,0.3255,0.405,13,True,False,False
0.39,0.3,0.1,0.265,0.1075,0.06,0.0865,13,True,False,False
0.46,0.34,0.135,0.495,0.1655,0.117,0.185,10,False,False,True
0.53,0.43,0.135,0.6255,0.245,0.1455,0.2135,10,False,True,False
0.16,0.12,0.035,0.021,0.0075,0.0045,0.005,5,False,True,False
0.475,0.365,0.12,0.53,0.2505,0.0975,0.1625,10,False,True,False
0.475,0.36,0.11,0.492,0.211,0.11,0.15,8,False,True,False
0.66,0.53,0.17,1.431,0.622,0.309,0.398,10,True,False,False
0.54,0.42,0.14,0.6275,0.2505,0.1175,0.235,9,False,True,False
0.615,0.475,0.175,1.194,0.559,0.259,0.3165,11,True,False,False
0.435,0.335,0.11,0.411,0.2025,0.0945,0.1,7,False,True,False
0.175,0.125,0.05,0.0235,0.008,0.0035,0.008,5,False,True,False
0.55,0.425,0.145,0.797,0.297,0.15,0.265,9,True,False,False
0.61,0.48,0.175,1.0675,0.391,0.216,0.42,15,True,False,False
0.68,0.5,0.185,1.741,0.7665,0.3255,0.4685,12,True,False,False
0.625,0.49,0.12,0.8765,0.456,0.18,0.233,10,False,False,True
0.565,0.44,0.16,0.915,0.354,0.1935,0.32,12,True,False,False
0.405,0.31,0.09,0.312,0.138,0.06,0.087,8,False,True,False
0.645,0.485,0.15,1.2215,0.5695,0.2735,0.33,9,False,False,True
0.53,0.385,0.125,0.6695,0.289,0.151,0.18,10,True,False,False
0.44,0.34,0.105,0.344,0.123,0.081,0.125,8,False,True,False
0.46,0.365,0.115,0.511,0.2365,0.118,0.123,7,False,True,False
0.585,0.46,0.145,0.9335,0.478,0.1825,0.235,9,False,False,True
0.57,0.445,0.145,0.8775,0.412,0.217,0.22,8,True,False,False
0.63,0.495,0.145,1.147,0.5455,0.266,0.2885,9,True,False,False
0.645,0.5,0.19,1.5595,0.741,0.3715,0.3845,14,False,False,True
0.385,0.285,0.09,0.248,0.0935,0.066,0.07,6,False,True,False
0.495,0.385,0.135,0.6335,0.2,0.1225,0.26,14,False,False,True
0.66,0.53,0.17,1.326,0.519,0.2625,0.44,13,True,False,False
0.7,0.53,0.19,1.3185,0.548,0.233,0.42,18,False,False,True
0.65,0.495,0.175,1.227,0.528,0.258,0.37,11,True,False,False
0.61,0.47,0.175,1.214,0.5315,0.2835,0.325,10,False,False,True
0.62,0.49,0.155,1.1,0.505,0.2475,0.31,9,False,False,True
0.7,0.55,0.175,1.4405,0.6565,0.2985,0.375,12,False,False,True
0.75,0.57,0.21,2.236,1.109,0.5195,0.545,11,True,False,False
0.61,0.48,0.15,1.2,0.56,0.2455,0.28,14,False,False,True
0.6,0.47,0.15,0.928,0.4225,0.183,0.275,8,False,False,True
0.57,0.42,0.16,0.8875,0.4315,0.1915,0.223,8,True,False,False
0.595,0.45,0.14,0.838,0.3965,0.194,0.217,10,False,False,True
0.545,0.42,0.125,0.717,0.358,0.112,0.22,8,False,True,False
0.415,0.31,0.1,0.2805,0.114,0.0565,0.0975,6,False,True,False
0.28,0.205,0.08,0.127,0.052,0.039,0.042,9,False,True,False
0.5,0.4,0.125,0.6675,0.261,0.1315,0.22,10,True,False,False
0.58,0.44,0.18,0.854,0.3665,0.1635,0.245,12,True,False,False
0.725,0.56,0.21,2.141,0.65,0.398,1.005,18,True,False,False
0.515,0.42,0.14,0.769,0.2505,0.154,0.29,13,False,False,True
0.655,0.515,0.145,1.25,0.5265,0.283,0.315,15,False,True,False
0.575,0.45,0.125,0.78,0.3275,0.188,0.235,9,False,True,False
0.395,0.305,0.105,0.284,0.1135,0.0595,0.0945,8,False,True,False
0.47,0.36,0.135,0.501,0.1665,0.115,0.165,10,False,False,True
0.365,0.27,0.075,0.2215,0.095,0.0445,0.07,6,False,True,False
0.49,0.4,0.115,0.569,0.256,0.1325,0.145,9,True,False,False
0.565,0.49,0.155,0.9245,0.405,0.2195,0.255,11,True,False,False
0.62,0.51,0.175,1.615,0.5105,0.192,0.675,12,False,False,True
0.665,0.535,0.19,1.496,0.5775,0.2815,0.475,17,True,False,False
0.44,0.34,0.1,0.379,0.1725,0.0815,0.101,7,False,True,False
0.505,0.385,0.12,0.6005,0.239,0.142,0.185,7,False,True,False
0.44,0.345,0.13,0.4495,0.209,0.0835,0.134,6,False,True,False
0.575,0.47,0.165,0.869,0.435,0.197,0.238,9,True,False,False
0.415,0.31,0.1,0.2805,0.114,0.0565,0.0975,6,False,True,False
0.25,0.19,0.065,0.0835,0.039,0.015,0.025,5,False,True,False
0.48,0.375,0.145,0.777,0.216,0.13,0.17,9,False,False,True
0.47,0.375,0.105,0.441,0.167,0.0865,0.145,10,False,True,False
0.37,0.29,0.08,0.2545,0.108,0.0565,0.07,6,False,True,False
0.625,0.49,0.165,1.205,0.5175,0.3105,0.3465,10,False,False,True
0.575,0.45,0.155,0.886,0.3605,0.211,0.2575,9,False,False,True
0.555,0.435,0.14,0.765,0.3945,0.15,0.206,8,False,True,False
0.385,0.29,0.08,0.2485,0.122,0.0495,0.065,7,False,True,False
0.54,0.405,0.15,0.7585,0.307,0.2075,0.19,10,False,True,False
0.27,0.19,0.06,0.099,0.0445,0.017,0.03,5,False,True,False
0.52,0.425,0.17,0.6805,0.28,0.174,0.195,10,False,True,False
0.64,0.51,0.175,1.368,0.515,0.266,0.57,21,False,False,True
0.495,0.385,0.125,0.5125,0.2075,0.1155,0.172,10,False,True,False
0.37,0.275,0.09,0.2065,0.096,0.0395,0.058,7,False,True,False
0.525,0.38,0.14,0.6065,0.194,0.1475,0.21,14,True,False,False
0.585,0.45,0.135,0.855,0.3795,0.187,0.26,9,False,True,False
0.43,0.315,0.115,0.384,0.1885,0.0715,0.11,8,False,True,False
0.69,0.535,0.185,1.826,0.797,0.409,0.499,11,True,False,False
0.585,0.46,0.17,0.9325,0.365,0.271,0.29,9,True,False,False
0.45,0.35,0.13,0.4655,0.2075,0.1045,0.135,8,False,False,True
0.595,0.46,0.155,1.03,0.4275,0.207,0.3305,10,False,False,True
0.39,0.315,0.09,0.3095,0.147,0.05,0.09,7,False,True,False
0.425,0.33,0.115,0.3265,0.1315,0.077,0.103,6,False,True,False
0.58,0.44,0.175,1.2255,0.5405,0.2705,0.3265,10,False,False,True
0.59,0.435,0.165,0.9765,0.4525,0.2395,0.235,9,False,False,True
0.58,0.435,0.15,0.839,0.3485,0.207,0.192,7,True,False,False
0.625,0.495,0.16,1.1115,0.4495,0.2825,0.345,11,True,False,False
0.635,0.51,0.175,1.2125,0.5735,0.261,0.36,14,True,False,False
0.61,0.465,0.125,0.9225,0.436,0.19,0.26,9,False,True,False
0.71,0.565,0.205,2.198,1.012,0.5225,0.5475,11,False,False,True
0.575,0.45,0.16,0.9775,0.3135,0.231,0.33,12,True,False,False
0.43,0.34,0.12,0.3575,0.151,0.0645,0.1045,9,False,True,False
0.415,0.325,0.1,0.3335,0.1445,0.0715,0.095,7,False,True,False
0.405,0.305,0.12,0.3185,0.1235,0.0905,0.095,7,False,False,True
0.575,0.43,0.13,0.7425,0.2895,0.2005,0.22,8,False,True,False
0.57,0.44,0.175,0.9415,0.3805,0.2285,0.283,9,False,False,True
0.585,0.405,0.15,1.2565,0.435,0.202,0.325,15,False,False,True
0.35,0.255,0.09,0.1785,0.0855,0.0305,0.0525,8,False,True,False
0.45,0.35,0.135,0.494,0.2205,0.0945,0.1405,7,False,True,False
0.61,0.485,0.21,1.3445,0.535,0.2205,0.515,20,True,False,False
0.575,0.445,0.135,0.883,0.381,0.2035,0.26,11,True,False,False
0.295,0.225,0.09,0.1105,0.0405,0.0245,0.032,7,False,True,False
0.175,0.125,0.05,0.0235,0.008,0.0035,0.008,5,False,True,False
0.7,0.6,0.23,2.003,0.8105,0.4045,0.5755,10,False,False,True
0.635,0.51,0.155,1.156,0.428,0.289,0.315,18,False,False,True
0.605,0.475,0.145,1.0185,0.4695,0.225,0.27,15,True,False,False
0.245,0.18,0.065,0.0635,0.0245,0.0135,0.02,4,False,False,True
0.645,0.485,0.215,1.514,0.546,0.2615,0.635,16,False,False,True
0.515,0.395,0.125,0.556,0.2695,0.096,0.17,8,False,True,False
0.51,0.4,0.15,0.745,0.2865,0.1675,0.235,13,False,True,False
0.56,0.435,0.13,0.777,0.354,0.173,0.222,9,False,True,False
0.525,0.405,0.145,0.6965,0.3045,0.1535,0.21,8,False,True,False
0.47,0.355,0.18,0.441,0.1525,0.1165,0.135,8,True,False,False
0.41,0.325,0.1,0.3555,0.146,0.072,0.105,9,False,False,True
0.675,0.505,0.16,1.532,0.74,0.357,0.3815,11,False,False,True
0.635,0.485,0.165,1.2695,0.5635,0.3065,0.3395,11,True,False,False
0.45,0.335,0.14,0.4625,0.164,0.076,0.15,14,False,False,True
0.68,0.58,0.2,1.787,0.585,0.453,0.6,19,True,False,False
0.34,0.25,0.09,0.179,0.0775,0.033,0.055,6,False,True,False
0.44,0.355,0.165,0.435,0.159,0.105,0.14,16,False,True,False
0.675,0.525,0.155,1.4785,0.628,0.3405,0.42,9,True,False,False
0.475,0.375,0.11,0.456,0.182,0.099,0.16,9,False,True,False
0.665,0.525,0.16,1.363,0.629,0.279,0.34,8,False,False,True
0.635,0.5,0.165,1.489,0.715,0.3445,0.3615,13,False,True,False
0.395,0.295,0.095,0.2725,0.115,0.0625,0.085,8,False,True,False
0.545,0.43,0.13,0.7595,0.358,0.153,0.2055,8,False,True,False
0.62,0.47,0.155,0.966,0.447,0.171,0.284,11,False,True,False
0.385,0.3,0.1,0.2725,0.1115,0.057,0.08,6,True,False,False
0.585,0.45,0.15,0.997,0.4055,0.283,0.251,11,False,False,True
0.53,0.395,0.13,0.575,0.247,0.115,0.183,9,False,True,False
0.615,0.52,0.15,1.3435,0.629,0.2605,0.345,10,True,False,False
0.545,0.42,0.165,0.8935,0.4235,0.2195,0.228,8,False,True,False
0.335,0.26,0.1,0.192,0.0785,0.0585,0.07,8,False,True,False
0.525,0.4,0.135,0.714,0.318,0.138,0.208,10,True,False,False
0.5,0.39,0.13,0.709,0.275,0.168,0.18,11,False,False,True
